   Temp (K)   mole % SiO2  mole % ZnO     wt % SiO2    wt % ZnO     a(SiO2)      a(ZnO)     a(Zn2SiO4)  
     1823.000       30.540       69.460        0.245       99.755   8.7434E-02   2.5866E-01   2.1797E-01
     1823.000       30.654       69.346        0.246       99.754   8.8449E-02   2.5725E-01   2.1810E-01
     1823.000       30.769       69.231        0.247       99.753   8.9469E-02   2.5585E-01   2.1823E-01
     1823.000       30.883       69.117        0.248       99.752   9.0494E-02   2.5447E-01   2.1835E-01
     1823.000       30.998       69.002        0.249       99.751   9.1525E-02   2.5310E-01   2.1846E-01
     1823.000       31.112       68.888        0.250       99.750   9.2561E-02   2.5174E-01   2.1857E-01
     1823.000       31.227       68.773        0.251       99.749   9.3602E-02   2.5039E-01   2.1867E-01
     1823.000       31.341       68.659        0.252       99.748   9.4648E-02   2.4906E-01   2.1876E-01
     1823.000       31.455       68.545        0.253       99.747   9.5700E-02   2.4774E-01   2.1885E-01
     1823.000       31.569       68.431        0.254       99.746   9.6756E-02   2.4643E-01   2.1894E-01
     1823.000       31.683       68.317        0.255       99.745   9.7817E-02   2.4513E-01   2.1902E-01
     1823.000       31.797       68.203        0.256       99.744   9.8883E-02   2.4385E-01   2.1909E-01
     1823.000       31.911       68.089        0.257       99.743   9.9954E-02   2.4258E-01   2.1916E-01
     1823.000       32.024       67.976        0.258       99.742   1.0103E-01   2.4131E-01   2.1922E-01
     1823.000       32.138       67.862        0.259       99.741   1.0211E-01   2.4006E-01   2.1927E-01
     1823.000       32.252       67.748        0.260       99.740   1.0320E-01   2.3883E-01   2.1933E-01
     1823.000       32.365       67.635        0.261       99.739   1.0429E-01   2.3760E-01   2.1937E-01
     1823.000       32.479       67.521        0.262       99.738   1.0538E-01   2.3639E-01   2.1941E-01
     1823.000       32.592       67.408        0.263       99.737   1.0648E-01   2.3518E-01   2.1945E-01
     1823.000       32.705       67.295        0.264       99.736   1.0758E-01   2.3399E-01   2.1948E-01
     1823.000       32.818       67.182        0.265       99.735   1.0869E-01   2.3281E-01   2.1950E-01
     1823.000       32.932       67.068        0.266       99.734   1.0980E-01   2.3163E-01   2.1952E-01
     1823.000       33.045       66.955        0.267       99.733   1.1092E-01   2.3048E-01   2.1954E-01
     1823.000       33.158       66.842        0.268       99.732   1.1204E-01   2.2933E-01   2.1955E-01
     1823.000       33.271       66.729        0.269       99.731   1.1316E-01   2.2819E-01   2.1955E-01
     1823.000       33.384       66.616        0.270       99.730   1.1428E-01   2.2707E-01   2.1955E-01
     1823.000       33.496       66.504        0.271       99.729   1.1541E-01   2.2595E-01   2.1955E-01
     1823.000       33.609       66.391        0.272       99.728   1.1655E-01   2.2484E-01   2.1954E-01
     1823.000       33.722       66.278        0.273       99.727   1.1769E-01   2.2374E-01   2.1952E-01
     1823.000       33.834       66.166        0.274       99.726   1.1883E-01   2.2265E-01   2.1951E-01
     1823.000       33.947       66.053        0.275       99.725   1.1998E-01   2.2157E-01   2.1948E-01
     1823.000       34.059       65.941        0.276       99.724   1.2113E-01   2.2050E-01   2.1946E-01
     1823.000       34.172       65.828        0.277       99.723   1.2229E-01   2.1944E-01   2.1942E-01
     1823.000       34.284       65.716        0.278       99.722   1.2345E-01   2.1839E-01   2.1939E-01
     1823.000       34.396       65.604        0.279       99.721   1.2461E-01   2.1735E-01   2.1935E-01
     1823.000       34.508       65.492        0.280       99.720   1.2577E-01   2.1632E-01   2.1930E-01
     1823.000       34.620       65.380        0.281       99.719   1.2694E-01   2.1530E-01   2.1925E-01
     1823.000       34.732       65.268        0.282       99.718   1.2812E-01   2.1428E-01   2.1920E-01
     1823.000       34.844       65.156        0.283       99.717   1.2929E-01   2.1328E-01   2.1914E-01
     1823.000       34.956       65.044        0.284       99.716   1.3047E-01   2.1228E-01   2.1908E-01
     1823.000       35.068       64.932        0.285       99.715   1.3166E-01   2.1129E-01   2.1902E-01
     1823.000       35.180       64.820        0.286       99.714   1.3284E-01   2.1032E-01   2.1895E-01
     1823.000       35.291       64.709        0.287       99.713   1.3403E-01   2.0935E-01   2.1887E-01
     1823.000       35.403       64.597        0.288       99.712   1.3522E-01   2.0838E-01   2.1880E-01
     1823.000       35.514       64.486        0.289       99.711   1.3642E-01   2.0743E-01   2.1872E-01
     1823.000       35.626       64.374        0.290       99.710   1.3762E-01   2.0648E-01   2.1863E-01
     1823.000       35.737       64.263        0.291       99.709   1.3882E-01   2.0555E-01   2.1854E-01
     1823.000       35.848       64.152        0.292       99.708   1.4002E-01   2.0462E-01   2.1845E-01
     1823.000       35.959       64.041        0.293       99.707   1.4123E-01   2.0370E-01   2.1836E-01
     1823.000       36.071       63.929        0.294       99.706   1.4244E-01   2.0278E-01   2.1826E-01
     1823.000       36.182       63.818        0.295       99.705   1.4366E-01   2.0188E-01   2.1815E-01
     1823.000       36.293       63.707        0.296       99.704   1.4487E-01   2.0098E-01   2.1805E-01
     1823.000       36.404       63.596        0.297       99.703   1.4609E-01   2.0009E-01   2.1794E-01
